image_path,species_label,timestamp,latitude,longitude,detection_confidence,bbox
data\raw\images\eccv_18_all_images_sm\5a14a471-23d2-11e8-a6a3-ec086b02610b.jpg,squirrel,2011-11-07 10:42:35,32.047059,-110.033333,0.8186,"[282.04095458984375, 560.1067504882812, 398.38763427734375, 638.9174194335938]"
data\raw\images\eccv_18_all_images_sm\597e6130-23d2-11e8-a6a3-ec086b02610b.jpg,opossum,2011-11-20 01:29:04,32.047059,-110.033333,0.6554,"[287.91387939453125, 540.3759155273438, 526.3705444335938, 651.7554321289062]"
data\raw\images\eccv_18_all_images_sm\59973cef-23d2-11e8-a6a3-ec086b02610b.jpg,opossum,2011-12-02 23:25:33,32.047059,-110.033333,0.8786,"[140.15286254882812, 389.8815002441406, 339.8935546875, 493.4053649902344]"
data\raw\images\eccv_18_all_images_sm\59b616c6-23d2-11e8-a6a3-ec086b02610b.jpg,raccoon,2011-12-11 03:10:25,32.047059,-110.033333,0.9122,"[284.99249267578125, 571.8133544921875, 523.1364135742188, 747.0]"
data\raw\images\eccv_18_all_images_sm\596bd9fe-23d2-11e8-a6a3-ec086b02610b.jpg,squirrel,2011-12-04 14:48:39,32.047059,-110.033333,0.5845,"[0.00958404503762722, 372.4141540527344, 54.862022399902344, 433.99066162109375]"
data\raw\images\eccv_18_all_images_sm\59f94549-23d2-11e8-a6a3-ec086b02610b.jpg,opossum,2011-12-07 12:19:47,32.047059,-110.033333,0.8473,"[132.11215209960938, 370.50506591796875, 267.0858459472656, 464.0574645996094]"
data\raw\images\eccv_18_all_images_sm\5a0e3609-23d2-11e8-a6a3-ec086b02610b.jpg,squirrel,2011-12-01 14:03:08,32.047059,-110.033333,0.726,"[437.63568115234375, 296.14801025390625, 552.2904052734375, 365.75347900390625]"
data\raw\images\eccv_18_all_images_sm\5a0494de-23d2-11e8-a6a3-ec086b02610b.jpg,opossum,2011-11-05 01:07:30,32.047059,-110.033333,0.8289,"[407.5329895019531, 527.1881713867188, 587.3248291015625, 633.0584716796875]"
data\raw\images\eccv_18_all_images_sm\59e1054b-23d2-11e8-a6a3-ec086b02610b.jpg,raccoon,2011-12-11 03:10:26,32.047059,-110.033333,0.9105,"[289.773681640625, 572.56982421875, 523.339111328125, 747.0]"
data\raw\images\eccv_18_all_images_sm\5a2e149d-23d2-11e8-a6a3-ec086b02610b.jpg,squirrel,2011-12-04 14:50:07,32.047059,-110.033333,0.7647,"[305.43780517578125, 630.473388671875, 454.3046875, 729.3810424804688]"
data\raw\images\eccv_18_all_images_sm\5a14a3cd-23d2-11e8-a6a3-ec086b02610b.jpg,opossum,2011-11-14 02:51:36,32.047059,-110.033333,0.7969,"[708.7202758789062, 384.0390625, 800.259033203125, 482.3436584472656]"
data\raw\images\eccv_18_all_images_sm\59fc7eb6-23d2-11e8-a6a3-ec086b02610b.jpg,squirrel,2011-12-10 12:38:17,32.047059,-110.033333,0.6977,"[21.420135498046875, 535.324951171875, 144.8089141845703, 621.3272705078125]"
data\raw\images\eccv_18_all_images_sm\598625ae-23d2-11e8-a6a3-ec086b02610b.jpg,squirrel,2011-12-01 13:16:44,32.047059,-110.033333,0.5557,"[488.52996826171875, 560.9097290039062, 594.317138671875, 645.166015625]"
data\raw\images\eccv_18_all_images_sm\596bd8fc-23d2-11e8-a6a3-ec086b02610b.jpg,squirrel,2011-11-13 15:29:49,32.047059,-110.033333,0.7195,"[301.48486328125, 244.20639038085938, 406.1711730957031, 309.80877685546875]"
data\raw\images\eccv_18_all_images_sm\5976a2e9-23d2-11e8-a6a3-ec086b02610b.jpg,raccoon,2011-11-16 03:16:52,32.047059,-110.033333,0.7886,"[775.1854248046875, 294.4632263183594, 893.8846435546875, 437.75177001953125]"
data\raw\images\eccv_18_all_images_sm\5a02fc80-23d2-11e8-a6a3-ec086b02610b.jpg,raccoon,2011-12-11 03:12:02,32.047059,-110.033333,0.8861,"[283.40167236328125, 297.9456481933594, 486.90338134765625, 442.057861328125]"
data\raw\images\eccv_18_all_images_sm\59ffbac3-23d2-11e8-a6a3-ec086b02610b.jpg,squirrel,2011-11-13 14:46:41,32.047059,-110.033333,0.7956,"[398.8861999511719, 378.8426818847656, 491.62933349609375, 475.659912109375]"
data\raw\images\eccv_18_all_images_sm\597b47bb-23d2-11e8-a6a3-ec086b02610b.jpg,opossum,2011-12-12 02:26:46,32.047059,-110.033333,0.6791,"[729.4327392578125, 359.8360900878906, 875.6334228515625, 441.2967224121094]"
data\raw\images\eccv_18_all_images_sm\597b48d4-23d2-11e8-a6a3-ec086b02610b.jpg,squirrel,2011-12-04 14:48:40,32.047059,-110.033333,0.8106,"[217.7982635498047, 361.22625732421875, 269.65814208984375, 448.44903564453125]"
data\raw\images\eccv_18_all_images_sm\59f5fe9f-23d2-11e8-a6a3-ec086b02610b.jpg,squirrel,2011-12-06 14:36:17,32.047059,-110.033333,0.7653,"[0.05491180345416069, 369.02642822265625, 55.70635986328125, 442.39990234375]"
data\raw\images\eccv_18_all_images_sm\5a24aa71-23d2-11e8-a6a3-ec086b02610b.jpg,squirrel,2011-11-14 13:28:25,32.047059,-110.033333,0.3463,"[753.2357177734375, 119.3084716796875, 802.1165771484375, 182.6963653564453]"
data\raw\images\eccv_18_all_images_sm\596bd790-23d2-11e8-a6a3-ec086b02610b.jpg,squirrel,2011-11-19 10:16:14,32.047059,-110.033333,0.6163,"[0.27018433809280396, 372.20782470703125, 56.28730392456055, 421.48846435546875]"
data\raw\images\eccv_18_all_images_sm\59b61742-23d2-11e8-a6a3-ec086b02610b.jpg,squirrel,2011-11-18 14:22:36,32.047059,-110.033333,0.6287,"[0.13788756728172302, 371.29571533203125, 58.377220153808594, 419.710693359375]"
data\raw\images\eccv_18_all_images_sm\599be7f6-23d2-11e8-a6a3-ec086b02610b.jpg,opossum,2011-11-21 19:56:48,32.047059,-110.033333,0.7128,"[777.1533203125, 355.40625, 853.58203125, 460.56256103515625]"
data\raw\images\eccv_18_all_images_sm\59fe21f1-23d2-11e8-a6a3-ec086b02610b.jpg,opossum,2011-11-09 04:34:05,32.047059,-110.033333,0.303,"[611.6173706054688, 330.1097717285156, 713.1760864257812, 408.40777587890625]"
data\raw\images\eccv_18_all_images_sm\59cf46b1-23d2-11e8-a6a3-ec086b02610b.jpg,squirrel,2011-12-01 13:16:38,32.047059,-110.033333,0.8153,"[671.5513305664062, 378.00433349609375, 717.9468994140625, 466.28021240234375]"
data\raw\images\eccv_18_all_images_sm\59a17be6-23d2-11e8-a6a3-ec086b02610b.jpg,squirrel,2011-11-18 14:22:37,32.047059,-110.033333,0.7921,"[281.81329345703125, 150.788818359375, 325.6662902832031, 246.696533203125]"
data\raw\images\eccv_18_all_images_sm\59b7a7da-23d2-11e8-a6a3-ec086b02610b.jpg,squirrel,2011-11-13 10:53:42,32.047059,-110.033333,0.674,"[0.07403869926929474, 367.8094177246094, 62.087486267089844, 433.3919372558594]"
data\raw\images\eccv_18_all_images_sm\5a063049-23d2-11e8-a6a3-ec086b02610b.jpg,opossum,2011-11-09 12:59:37,32.047059,-110.033333,0.8056,"[627.5130615234375, 341.9236755371094, 748.9508056640625, 428.22320556640625]"
data\raw\images\eccv_18_all_images_sm\59eab975-23d2-11e8-a6a3-ec086b02610b.jpg,squirrel,2011-11-19 10:19:52,32.047059,-110.033333,0.8535,"[471.5982971191406, 519.0635375976562, 620.4530029296875, 632.3407592773438]"
data\raw\images\eccv_18_all_images_sm\59fae3e8-23d2-11e8-a6a3-ec086b02610b.jpg,opossum,2011-11-14 02:51:37,32.047059,-110.033333,0.5487,"[651.919921875, 413.1487731933594, 747.1722412109375, 517.5642700195312]"
data\raw\images\eccv_18_all_images_sm\5995ad8c-23d2-11e8-a6a3-ec086b02610b.jpg,squirrel,2011-12-15 11:38:09,32.047059,-110.033333,0.7016,"[161.7620086669922, 367.02716064453125, 241.33544921875, 425.5704040527344]"
data\raw\images\eccv_18_all_images_sm\5a2964bd-23d2-11e8-a6a3-ec086b02610b.jpg,opossum,2011-11-23 02:19:29,32.047059,-110.033333,0.7118,"[19.257976531982422, 416.0499572753906, 172.0197296142578, 501.95721435546875]"
data\raw\images\eccv_18_all_images_sm\59d4180f-23d2-11e8-a6a3-ec086b02610b.jpg,raccoon,2011-11-16 03:17:00,32.047059,-110.033333,0.8295,"[633.8424072265625, 465.7276306152344, 814.123291015625, 681.3172607421875]"
data\raw\images\eccv_18_all_images_sm\5a0e3522-23d2-11e8-a6a3-ec086b02610b.jpg,opossum,2011-12-12 02:26:48,32.047059,-110.033333,0.7975,"[741.5399169921875, 343.1422424316406, 897.80810546875, 433.79339599609375]"
data\raw\images\eccv_18_all_images_sm\596d6440-23d2-11e8-a6a3-ec086b02610b.jpg,squirrel,2011-11-10 13:10:07,32.047059,-110.033333,0.6911,"[300.0379333496094, 325.75006103515625, 343.52532958984375, 424.1495056152344]"
data\raw\images\eccv_18_all_images_sm\5a14a506-23d2-11e8-a6a3-ec086b02610b.jpg,opossum,2011-11-14 02:51:38,32.047059,-110.033333,0.8254,"[597.7740478515625, 449.517578125, 690.59228515625, 564.5394897460938]"
data\raw\images\eccv_18_all_images_sm\5a062f6d-23d2-11e8-a6a3-ec086b02610b.jpg,squirrel,2011-11-13 15:01:11,32.047059,-110.033333,0.8646,"[618.7344970703125, 649.0087890625, 721.1170043945312, 746.5759887695312]"
data\raw\images\eccv_18_all_images_sm\59be3ec6-23d2-11e8-a6a3-ec086b02610b.jpg,squirrel,2011-11-10 12:54:54,32.047059,-110.033333,0.6982,"[925.2113037109375, 383.1597595214844, 1003.8388671875, 458.569091796875]"
data\raw\images\eccv_18_all_images_sm\5a0493a8-23d2-11e8-a6a3-ec086b02610b.jpg,squirrel,2011-11-14 13:17:38,32.047059,-110.033333,0.777,"[395.5643310546875, 545.2637939453125, 472.92822265625, 628.796875]"
data\raw\images\eccv_18_all_images_sm\59cf4832-23d2-11e8-a6a3-ec086b02610b.jpg,raccoon,2011-12-11 03:12:15,32.047059,-110.033333,0.8793,"[324.4364013671875, 245.6481475830078, 490.8243103027344, 415.57672119140625]"
data\raw\images\eccv_18_all_images_sm\5a0492c6-23d2-11e8-a6a3-ec086b02610b.jpg,squirrel,2011-11-10 12:54:09,32.047059,-110.033333,0.3528,"[359.89288330078125, 370.2587890625, 387.8161926269531, 399.2903747558594]"
data\raw\images\eccv_18_all_images_sm\59a49b3a-23d2-11e8-a6a3-ec086b02610b.jpg,squirrel,2011-12-15 11:38:11,32.047059,-110.033333,0.3685,"[107.4395751953125, 426.7483825683594, 166.14231872558594, 532.2423095703125]"
data\raw\images\eccv_18_all_images_sm\59ccd33c-23d2-11e8-a6a3-ec086b02610b.jpg,squirrel,2011-11-07 10:42:33,32.047059,-110.033333,0.4857,"[0.0, 379.38592529296875, 52.5567626953125, 432.4837951660156]"
data\raw\images\eccv_18_all_images_sm\59cf4835-23d2-11e8-a6a3-ec086b02610b.jpg,opossum,2011-12-02 19:22:21,32.047059,-110.033333,0.7326,"[641.0523681640625, 436.31884765625, 838.86083984375, 544.8924560546875]"
data\raw\images\eccv_18_all_images_sm\59862385-23d2-11e8-a6a3-ec086b02610b.jpg,squirrel,2011-11-04 09:54:34,32.047059,-110.033333,0.4543,"[141.00518798828125, 339.8185119628906, 259.0985412597656, 416.987060546875]"
data\raw\images\eccv_18_all_images_sm\59eab919-23d2-11e8-a6a3-ec086b02610b.jpg,squirrel,2011-11-13 10:52:22,32.047059,-110.033333,0.7739,"[227.0466766357422, 488.3427734375, 312.3526916503906, 622.00146484375]"
data\raw\images\eccv_18_all_images_sm\597b49d0-23d2-11e8-a6a3-ec086b02610b.jpg,opossum,2011-12-11 22:11:00,32.047059,-110.033333,0.817,"[64.3087387084961, 413.8500061035156, 187.07081604003906, 562.6865234375]"
data\raw\images\eccv_18_all_images_sm\59ddc10c-23d2-11e8-a6a3-ec086b02610b.jpg,squirrel,2011-11-12 16:57:36,32.047059,-110.033333,0.6365,"[0.0024291991721838713, 364.04241943359375, 61.8985595703125, 432.86114501953125]"
data\raw\images\eccv_18_all_images_sm\59d0e279-23d2-11e8-a6a3-ec086b02610b.jpg,opossum,2011-12-02 23:01:40,32.047059,-110.033333,0.7655,"[340.65057373046875, 315.39044189453125, 467.38970947265625, 401.99298095703125]"
data\raw\images\eccv_18_all_images_sm\59a49c21-23d2-11e8-a6a3-ec086b02610b.jpg,squirrel,2011-11-13 15:01:10,32.047059,-110.033333,0.87,"[672.6674194335938, 513.5521240234375, 775.1826782226562, 649.8018188476562]"
data\raw\images\eccv_18_all_images_sm\59e441f4-23d2-11e8-a6a3-ec086b02610b.jpg,coyote,2011-12-01 07:16:44,32.047059,-110.033333,0.9416,"[286.06866455078125, 303.91131591796875, 602.4764404296875, 637.0479736328125]"
data\raw\images\eccv_18_all_images_sm\598c5cea-23d2-11e8-a6a3-ec086b02610b.jpg,squirrel,2011-11-19 10:19:49,32.047059,-110.033333,0.78,"[590.8495483398438, 405.2975158691406, 653.1214599609375, 471.287841796875]"
data\raw\images\eccv_18_all_images_sm\598f7758-23d2-11e8-a6a3-ec086b02610b.jpg,opossum,2011-11-23 01:48:21,32.047059,-110.033333,0.8447,"[265.2871398925781, 339.0218811035156, 444.13800048828125, 433.85693359375]"
data\raw\images\eccv_18_all_images_sm\59bfdee5-23d2-11e8-a6a3-ec086b02610b.jpg,opossum,2011-12-02 23:25:30,32.047059,-110.033333,0.8743,"[312.97698974609375, 357.802978515625, 486.48486328125, 451.6958923339844]"
data\raw\images\eccv_18_all_images_sm\59edefb8-23d2-11e8-a6a3-ec086b02610b.jpg,opossum,2011-12-12 01:33:41,32.047059,-110.033333,0.8406,"[504.28582763671875, 319.24383544921875, 630.828369140625, 409.3177185058594]"
data\raw\images\eccv_18_all_images_sm\598496da-23d2-11e8-a6a3-ec086b02610b.jpg,squirrel,2011-11-13 15:30:24,32.047059,-110.033333,0.6636,"[757.2064819335938, 119.6307144165039, 807.8941040039062, 184.13040161132812]"
data\raw\images\eccv_18_all_images_sm\59c66939-23d2-11e8-a6a3-ec086b02610b.jpg,opossum,2011-11-05 01:07:29,32.047059,-110.033333,0.8396,"[481.68670654296875, 514.1159057617188, 643.1162719726562, 626.8995971679688]"
data\raw\images\eccv_18_all_images_sm\598ad0a9-23d2-11e8-a6a3-ec086b02610b.jpg,opossum,2011-12-02 23:25:29,32.047059,-110.033333,0.8247,"[411.80987548828125, 325.6436462402344, 516.9497680664062, 425.1434631347656]"
data\raw\images\eccv_18_all_images_sm\59c99d5b-23d2-11e8-a6a3-ec086b02610b.jpg,squirrel,2011-11-18 12:24:03,32.047059,-110.033333,0.756,"[447.0387268066406, 501.5581970214844, 514.8893432617188, 667.8610229492188]"
data\raw\images\eccv_18_all_images_sm\597feff2-23d2-11e8-a6a3-ec086b02610b.jpg,squirrel,2011-11-13 10:52:21,32.047059,-110.033333,0.6705,"[218.01913452148438, 503.7047424316406, 324.55389404296875, 614.5233154296875]"
data\raw\images\eccv_18_all_images_sm\5a1cb13b-23d2-11e8-a6a3-ec086b02610b.jpg,squirrel,2011-11-29 10:08:17,32.047059,-110.033333,0.7867,"[286.40362548828125, 608.22314453125, 423.64837646484375, 719.9564208984375]"
data\raw\images\eccv_18_all_images_sm\59f9469f-23d2-11e8-a6a3-ec086b02610b.jpg,opossum,2011-12-02 23:01:42,32.047059,-110.033333,0.8566,"[315.42254638671875, 318.341552734375, 446.29833984375, 410.9505310058594]"
data\raw\images\eccv_18_all_images_sm\59b61629-23d2-11e8-a6a3-ec086b02610b.jpg,opossum,2011-11-23 02:19:30,32.047059,-110.033333,0.6075,"[0.5493835210800171, 412.13037109375, 174.2533721923828, 499.0125427246094]"
data\raw\images\eccv_18_all_images_sm\59ccd118-23d2-11e8-a6a3-ec086b02610b.jpg,raccoon,2011-12-11 03:11:58,32.047059,-110.033333,0.9116,"[329.6537780761719, 283.69390869140625, 519.8817138671875, 426.2462463378906]"
data\raw\images\eccv_18_all_images_sm\59c3194f-23d2-11e8-a6a3-ec086b02610b.jpg,squirrel,2011-11-18 12:24:02,32.047059,-110.033333,0.7647,"[427.75958251953125, 503.8124084472656, 504.676025390625, 665.8961181640625]"
data\raw\images\eccv_18_all_images_sm\59fe21e2-23d2-11e8-a6a3-ec086b02610b.jpg,squirrel,2011-11-13 14:46:42,32.047059,-110.033333,0.8158,"[444.74755859375, 426.8638610839844, 497.13519287109375, 519.0765380859375]"
data\raw\images\eccv_18_all_images_sm\598179d5-23d2-11e8-a6a3-ec086b02610b.jpg,squirrel,2011-11-07 10:42:39,32.047059,-110.033333,0.8057,"[276.29608154296875, 493.5777282714844, 379.7926025390625, 585.4177856445312]"
data\raw\images\eccv_18_all_images_sm\5a0e351a-23d2-11e8-a6a3-ec086b02610b.jpg,squirrel,2011-11-16 09:52:15,32.047059,-110.033333,0.5493,"[0.05910644680261612, 368.63311767578125, 56.58784103393555, 436.78497314453125]"
data\raw\images\eccv_18_all_images_sm\59b93a5a-23d2-11e8-a6a3-ec086b02610b.jpg,raccoon,2011-12-11 03:10:24,32.047059,-110.033333,0.8959,"[292.9100036621094, 573.5660400390625, 520.4428100585938, 747.0]"
data\raw\images\eccv_18_all_images_sm\599be76e-23d2-11e8-a6a3-ec086b02610b.jpg,squirrel,2011-12-01 13:16:36,32.047059,-110.033333,0.5263,"[676.1473999023438, 369.84783935546875, 756.6912841796875, 424.54205322265625]"
data\raw\images\eccv_18_all_images_sm\597cd456-23d2-11e8-a6a3-ec086b02610b.jpg,squirrel,2011-11-13 15:42:53,32.047059,-110.033333,0.8287,"[386.633544921875, 515.5950927734375, 581.8800048828125, 618.7268676757812]"
data\raw\images\eccv_18_all_images_sm\599fbe7a-23d2-11e8-a6a3-ec086b02610b.jpg,squirrel,2011-12-01 14:04:11,32.047059,-110.033333,0.6258,"[758.2098999023438, 119.1611099243164, 803.0761108398438, 186.4150848388672]"
data\raw\images\eccv_18_all_images_sm\59ddc046-23d2-11e8-a6a3-ec086b02610b.jpg,squirrel,2011-12-15 11:39:54,32.047059,-110.033333,0.477,"[100.05513763427734, 507.32037353515625, 153.39500427246094, 561.93359375]"
data\raw\images\eccv_18_all_images_sm\59f5fef4-23d2-11e8-a6a3-ec086b02610b.jpg,squirrel,2011-12-10 11:52:13,32.047059,-110.033333,0.6915,"[302.03656005859375, 320.05792236328125, 332.50115966796875, 391.3617248535156]"
data\raw\images\eccv_18_all_images_sm\5987b394-23d2-11e8-a6a3-ec086b02610b.jpg,squirrel,2011-11-10 12:54:55,32.047059,-110.033333,0.7898,"[909.0040283203125, 388.3761291503906, 994.9007568359375, 469.45733642578125]"
data\raw\images\eccv_18_all_images_sm\59e77bfe-23d2-11e8-a6a3-ec086b02610b.jpg,raccoon,2011-12-11 03:11:53,32.047059,-110.033333,0.8838,"[455.49365234375, 245.325927734375, 618.63671875, 385.82305908203125]"
data\raw\images\eccv_18_all_images_sm\59fae58a-23d2-11e8-a6a3-ec086b02610b.jpg,squirrel,2011-12-06 14:35:40,32.047059,-110.033333,0.6587,"[697.2353515625, 464.62615966796875, 872.8189697265625, 542.82861328125]"
data\raw\images\eccv_18_all_images_sm\5a163fe5-23d2-11e8-a6a3-ec086b02610b.jpg,squirrel,2011-11-12 16:57:34,32.047059,-110.033333,0.5795,"[0.0, 364.69720458984375, 62.221221923828125, 432.491943359375]"
data\raw\images\eccv_18_all_images_sm\5979bb6f-23d2-11e8-a6a3-ec086b02610b.jpg,squirrel,2011-12-10 09:35:52,32.047059,-110.033333,0.7316,"[0.16832885146141052, 525.3755493164062, 84.12313079833984, 620.1444091796875]"
data\raw\images\eccv_18_all_images_sm\5a04964c-23d2-11e8-a6a3-ec086b02610b.jpg,squirrel,2011-11-18 14:22:38,32.047059,-110.033333,0.5742,"[0.086273193359375, 371.06524658203125, 57.254920959472656, 424.7767028808594]"
data\raw\images\eccv_18_all_images_sm\59a49a99-23d2-11e8-a6a3-ec086b02610b.jpg,squirrel,2011-11-13 15:25:25,32.047059,-110.033333,0.854,"[247.3144989013672, 561.4086303710938, 416.08453369140625, 636.6603393554688]"
data\raw\images\eccv_18_all_images_sm\598c5bf5-23d2-11e8-a6a3-ec086b02610b.jpg,squirrel,2011-12-04 14:50:08,32.047059,-110.033333,0.8343,"[432.567626953125, 673.1080932617188, 540.7379150390625, 746.6827392578125]"
data\raw\images\eccv_18_all_images_sm\5a015c4c-23d2-11e8-a6a3-ec086b02610b.jpg,opossum,2011-12-11 22:10:59,32.047059,-110.033333,0.8564,"[83.24888610839844, 408.89501953125, 221.7437744140625, 523.6751708984375]"
data\raw\images\eccv_18_all_images_sm\5a1309fb-23d2-11e8-a6a3-ec086b02610b.jpg,opossum,2011-12-08 22:32:43,32.047059,-110.033333,0.8214,"[475.25531005859375, 311.69537353515625, 597.173828125, 402.0550842285156]"
data\raw\images\eccv_18_all_images_sm\5971fb76-23d2-11e8-a6a3-ec086b02610b.jpg,squirrel,2011-12-01 13:16:37,32.047059,-110.033333,0.8056,"[672.6804809570312, 384.4439392089844, 721.6917724609375, 457.27618408203125]"
data\raw\images\eccv_18_all_images_sm\5973883a-23d2-11e8-a6a3-ec086b02610b.jpg,opossum,2011-11-09 19:34:43,32.047059,-110.033333,0.8637,"[427.8492126464844, 283.37469482421875, 546.900390625, 377.1439514160156]"
data\raw\images\eccv_18_all_images_sm\59fae54c-23d2-11e8-a6a3-ec086b02610b.jpg,squirrel,2011-11-13 15:29:47,32.047059,-110.033333,0.8364,"[215.2729949951172, 269.0832214355469, 303.12603759765625, 386.29638671875]"
data\raw\images\eccv_18_all_images_sm\5a263968-23d2-11e8-a6a3-ec086b02610b.jpg,opossum,2011-11-09 04:34:12,32.047059,-110.033333,0.8305,"[249.75265502929688, 363.7447814941406, 379.87640380859375, 454.10723876953125]"
data\raw\images\eccv_18_all_images_sm\59cb3a1d-23d2-11e8-a6a3-ec086b02610b.jpg,opossum,2011-11-17 23:59:45,32.047059,-110.033333,0.8502,"[394.38568115234375, 536.3773803710938, 550.2127685546875, 660.2536010742188]"
data\raw\images\eccv_18_all_images_sm\5a27d86c-23d2-11e8-a6a3-ec086b02610b.jpg,opossum,2011-12-02 23:25:28,32.047059,-110.033333,0.8443,"[440.647216796875, 315.19586181640625, 534.6805419921875, 413.11895751953125]"
data\raw\images\eccv_18_all_images_sm\5a263846-23d2-11e8-a6a3-ec086b02610b.jpg,opossum,2011-11-17 23:59:46,32.047059,-110.033333,0.8139,"[315.9744567871094, 562.3705444335938, 466.45166015625, 702.5294189453125]"
data\raw\images\eccv_18_all_images_sm\59c66b06-23d2-11e8-a6a3-ec086b02610b.jpg,squirrel,2011-12-01 14:04:16,32.047059,-110.033333,0.406,"[758.7033081054688, 119.30810546875, 802.0181274414062, 183.9835968017578]"
data\raw\images\eccv_18_all_images_sm\5a1cb142-23d2-11e8-a6a3-ec086b02610b.jpg,raccoon,2011-12-11 03:12:21,32.047059,-110.033333,0.7577,"[111.740478515625, 417.3873596191406, 240.6021270751953, 623.2739868164062]"
data\raw\images\eccv_18_all_images_sm\59f1299d-23d2-11e8-a6a3-ec086b02610b.jpg,squirrel,2011-11-13 15:29:48,32.047059,-110.033333,0.657,"[0.05455932766199112, 370.7086486816406, 62.07414627075195, 432.34039306640625]"
data\raw\images\eccv_18_all_images_sm\5a14a4ec-23d2-11e8-a6a3-ec086b02610b.jpg,coyote,2011-11-13 03:40:57,32.047059,-110.033333,0.7991,"[0.0, 335.5791015625, 149.52880859375, 574.0610961914062]"
data\raw\images\eccv_18_all_images_sm\59ccd0a6-23d2-11e8-a6a3-ec086b02610b.jpg,squirrel,2011-12-10 11:52:16,32.047059,-110.033333,0.6262,"[422.280029296875, 512.3143310546875, 465.1068420410156, 558.1377563476562]"
data\raw\images\eccv_18_all_images_sm\59f1299e-23d2-11e8-a6a3-ec086b02610b.jpg,raccoon,2011-12-11 03:11:57,32.047059,-110.033333,0.9007,"[368.48431396484375, 276.6953125, 542.5119018554688, 424.7848205566406]"
data\raw\images\eccv_18_all_images_sm\59894507-23d2-11e8-a6a3-ec086b02610b.jpg,raccoon,2011-11-16 03:16:57,32.047059,-110.033333,0.8305,"[768.47216796875, 350.3328552246094, 950.1345825195312, 516.1929931640625]"
data\raw\images\eccv_18_all_images_sm\59a62946-23d2-11e8-a6a3-ec086b02610b.jpg,raccoon,2011-12-11 03:11:52,32.047059,-110.033333,0.8965,"[508.917236328125, 235.1319580078125, 691.72509765625, 358.58709716796875]"
data\raw\images\eccv_18_all_images_sm\59cb39b8-23d2-11e8-a6a3-ec086b02610b.jpg,squirrel,2011-12-01 14:04:17,32.047059,-110.033333,0.5619,"[757.1179809570312, 118.9653091430664, 802.5015258789062, 185.6155242919922]"
data\raw\images\eccv_18_all_images_sm\5a1b1644-23d2-11e8-a6a3-ec086b02610b.jpg,opossum,2011-12-09 22:55:44,32.047059,-110.033333,0.8877,"[305.317138671875, 347.31463623046875, 469.99554443359375, 454.52178955078125]"
data\raw\images\eccv_18_all_images_sm\5a0b0142-23d2-11e8-a6a3-ec086b02610b.jpg,opossum,2011-12-09 22:55:45,32.047059,-110.033333,0.8856,"[236.21310424804688, 374.5663146972656, 391.54248046875, 496.98052978515625]"
